Station name,HAYDON BRIDGE
Station number,"023004"
External number,---
River,River South Tyne
Operator,---
NGR,NY8562864666
Easting,"385628"
Northing,"564666"
Parameter-name,FQ [Flow]
Parameter Type,Flow
Time series name,NEA/023004/FQ/WDay.Mean
Time series unit,m³/s
Time level,Daily
Time series type,Other
Equidistant time series,yes
Time series value distance,1 day
Time series quality,Production
Time series measuring method,---
Period of record in file: 01/01/1980 09:00:00 to 08/01/2021 09:00:00
Quality code description, G = good; E = estimated; S = suspect; U = unchecked; M = missing; C = complete; I = incomplete; Ed = edited; WR = within rating; NR = no rating; EX> = extrapolated upper part; EX< = extrapolated lower part; BL> = beyond upper limit; BL< = beyond lower limit; MH = weir modular (head); NH = weir non modular (head); EH = weir extremely non modular (head); MT = weir modular (tail); NT = weir non modular (tail); ET = weir extremely non modular (tail); MC = weir modular (crest); NC = weir non modular (crest); EC = weir extremely non modular (crest); -H = weir head only; RAS = rastered time stamp; A = apportioned/interpolated; D = dry; SN = snow; T = trace
Time stamp,Value[m³/s],State of value,Interpolation,valid[%],invalid[%],missing[%],Tags,Comments
01/01/1980 09:00:00,8.16,G;C,103,100,0,0,,stage data read from paper tape  period marked is highly suspect  derived flow is not correct  15 min data NOT to be used.  With hydrologist to decide further action
02/01/1980 09:00:00,8.50,G;C,103,100,0,0,,stage data read from paper tape  period marked is highly suspect  derived flow is not correct  15 min data NOT to be used.  With hydrologist to decide further action
03/01/1980 09:00:00,64.6,G;C,103,100,0,0,,stage data read from paper tape  period marked is highly suspect  derived flow is not correct  15 min data NOT to be used.  With hydrologist to decide further action
04/01/1980 09:00:00,46.7,G;C,103,100,0,0,,stage data read from paper tape  period marked is highly suspect  derived flow is not correct  15 min data NOT to be used.  With hydrologist to decide further action
05/01/1980 09:00:00,37.4,G;C,103,100,0,0,,stage data read from paper tape  period marked is highly suspect  derived flow is not correct  15 min data NOT to be used.  With hydrologist to decide further action
06/01/1980 09:00:00,22.2,G;C,103,100,0,0,,stage data read from paper tape  period marked is highly suspect  derived flow is not correct  15 min data NOT to be used.  With hydrologist to decide further action
07/01/1980 09:00:00,19.4,G;C,103,100,0,0,,stage data read from paper tape  period marked is highly suspect  derived flow is not correct  15 min data NOT to be used.  With hydrologist to decide further action
08/01/1980 09:00:00,14.4,G;C,103,100,0,0,,stage data read from paper tape  period marked is highly suspect  derived flow is not correct  15 min data NOT to be used.  With hydrologist to decide further action
09/01/1980 09:00:00,10.9,G;C,103,100,0,0,,stage data read from paper tape  period marked is highly suspect  derived flow is not correct  15 min data NOT to be used.  With hydrologist to decide further action
10/01/1980 09:00:00,9.41,G;C,103,100,0,0,,stage data read from paper tape  period marked is highly suspect  derived flow is not correct  15 min data NOT to be used.  With hydrologist to decide further action
11/01/1980 09:00:00,8.42,G;C,103,100,0,0,,stage data read from paper tape  period marked is highly suspect  derived flow is not correct  15 min data NOT to be used.  With hydrologist to decide further action
